Date,Close,High,Low,Open,Volume
2020-02-24,163.90028381347656,167.4105865878964,156.55358840288457,160.9079022403588,68311100
2020-02-25,161.1956024169922,167.68868511978565,160.79276839214288,167.07486300599308,68073300
2020-02-26,163.20965576171875,166.17326417706008,161.3298324431475,162.76847900997373,56206100
2020-02-27,151.71011352539062,160.1981366182778,151.51829685370356,156.6398912592596,93174900
2020-02-28,155.38343811035156,157.01391617043777,145.7828738570624,146.176107489656,97012700
2020-03-02,165.72254943847656,165.8472368709453,155.6712057406034,158.54849995689602,71030800
2020-03-03,157.78121948242188,167.84216358524327,155.62324880775446,166.69124881902235,71677000
2020-03-04,163.57418823242188,163.71804709737776,158.8458268636331,161.59844843542237,49814400
2020-03-05,159.46920776367188,163.881049207584,158.9129292400471,159.2582050604117,47817300
2020-03-06,154.9614715576172,156.438476044775,149.61928864977335,155.95892704269238,72821100
2020-03-09,144.45936584472656,151.29774067696266,143.86472964528937,144.82382784292463,70419300
2020-03-10,154.3380584716797,154.44355984394875,146.33918414221577,151.69095308748533,65354400
2020-03-11,147.34620666503906,151.2497272856061,144.96763347159413,150.70304912378282,56371600
2020-03-12,133.37217712402344,147.19278401689266,132.91181414174207,139.35695443238262,93226400
2020-03-13,152.3335418701172,155.28756555885374,134.97386167221535,141.4669594334102,92727400
2020-03-16,129.88104248046875,143.24128451832524,129.47822309810212,134.27371284247627,87905900
2020-03-17,140.57501220703125,141.4669663942287,129.47824042861612,134.27373081486115,81059800
2020-03-18,134.6573486328125,140.02830309868634,129.49741152500056,132.35551936725145,81593200
2020-03-19,136.8728790283203,144.0085556992658,133.31461908681857,136.93042256551502,85922700
2020-03-20,131.73207092285156,141.08327321205866,130.30301012504572,140.02825992043432,84866200
2020-03-23,130.41818237304688,134.82045468014135,127.09971045970958,131.40605244852114,78975200
2020-03-24,142.27256774902344,143.48104037387088,135.4917537410284,137.87031224766267,82516700
2020-03-25,140.9106903076172,148.01761070118488,138.53213113063146,142.8193007844241,75638200
2020-03-26,149.72479248046875,150.25229931837853,142.3013685375389,142.33014030736356,64568100
2020-03-27,143.5769805908203,148.5547020002184,143.09743154767483,145.54313459465183,57042300
2020-03-30,153.67623901367188,154.03111515729233,143.874258159953,146.20487346367648,63420300
2020-03-31,151.25933837890625,158.0401530173916,150.15636699756618,152.8802015596129,77927200
2020-04-01,145.88839721679688,151.29770934590042,144.65116723731362,146.7419938505405,57969900
2020-04-02,148.90953063964844,149.1205333426893,144.20995691120478,145.64860372211677,49630700
2020-04-03,147.53807067871094,150.9428720498707,145.9651502926816,148.75612943111472,41243300
2020-04-06,158.51014709472656,159.68983366009195,151.13468036371236,153.76261442636164,67111700
2020-04-07,156.8029022216797,163.046623536875,156.58229919404917,162.6533899324945,62769000
2020-04-08,158.3759002685547,159.85290514887248,156.81256542252973,158.89380688940744,48318200
2020-04-09,158.38539123535156,160.52417497681242,156.64942676573517,159.55549158271043,51385100
2020-04-13,158.74026489257812,158.79782305126628,155.66156928026592,157.62772261400426,41905300
2020-04-14,166.59532165527344,166.64327948277887,161.12846591716172,162.08756392857342,52874300
2020-04-15,164.8497772216797,166.470655264823,162.31775895960413,164.19758293881753,40940800
2020-04-16,169.7987060546875,170.02889484665954,165.82804085988397,167.1707868610428,50479600
2020-04-17,171.29486083984375,172.63759181117376,168.67651349374523,172.1580429450316,52765600
2020-04-20,167.899658203125,171.4387314198571,167.8325289672832,169.40544877086737,36669600
2020-04-21,160.955810546875,166.56652426997513,159.3157467603245,166.40347938927022,56203700
2020-04-22,166.42266845703125,166.88303134233635,163.83310710451565,164.3797852868144,34620200
2020-04-23,164.40855407714844,167.89966971643338,163.91941943503073,166.98852967264298,32790800
2020-04-24,167.41055297851562,167.4201386896981,163.72762029949916,165.02239377346234,34277600
2020-04-27,166.9310302734375,169.6644511274354,166.21170668533134,169.36713305256632,33194400
2020-04-28,162.86439514160156,168.48470883723664,162.46157582160095,168.4079792570454,34392700
2020-04-29,170.17274475097656,170.4125192420091,164.8497627577928,166.13495051740563,51286600
2020-04-30,171.87994384765625,173.02125807378783,169.02182152297334,172.63762476152021,53875900
2020-05-01,167.42974853515625,171.3332698702352,166.89264135031937,168.60943500316853,39370500
2020-05-04,171.52505493164062,171.6785140990224,166.69120823648794,167.35298809048416,30372900
2020-05-05,173.36656188964844,176.13835472696005,172.5417369639428,173.23228874521612,36839200
2020-05-06,175.07371520996094,176.66582115428446,174.20094728826206,174.63253839409938,32139300
2020-05-07,176.0904083251953,177.0015485483026,175.11212421375677,176.63708660518972,28316000
2020-05-08,177.12615966796875,177.4330779625996,175.86015828929092,177.41389191051775,30877800
2020-05-11,179.10194396972656,179.8404388027955,175.37105378962218,175.65877144683225,30892700
2020-05-12,175.04495239257812,179.38966470711802,174.84355002907293,179.15949057739778,32038200
2020-05-13,172.39784240722656,176.52196618173303,169.31913180036474,175.08331937444046,44711500
2020-05-14,173.14596557617188,173.29942477275404,168.49433429316184,170.27825720807476,41873900
2020-05-15,175.6683807373047,179.40885681823255,169.76033396386777,171.73607336223853,46610400
2020-05-18,177.34677124023438,178.58400091784165,176.43563129040942,178.15240985052145,35264500
2020-05-19,176.11917114257812,178.96769338498885,175.98489800741655,177.46190249419382,26799100
2020-05-20,178.5620880126953,178.74482652392982,176.90784367737746,177.7445782546781,31261300
2020-05-21,176.41729736328125,179.53343450207785,176.28265027752389,178.31198364707294,29119500
2020-05-22,176.4942626953125,177.4079551864606,175.56134538624914,176.1865041788996,20826900
2020-05-26,174.62841796875,179.3699324636628,174.17638532952557,179.2160458895797,36073600
2020-05-27,174.85922241210938,175.03234846617485,169.8484140581018,173.31077370967557,39517100
2020-05-28,174.46493530273438,177.10980072845376,173.48394123841643,173.8301787538916,33810200
2020-05-29,176.24420166015625,177.22521032967782,173.51278071996907,175.74407757906621,42130400
2020-06-01,175.84027099609375,176.00377000499168,174.52265184028266,175.56134969970077,22622400
2020-06-02,177.84072875976562,177.9272844571276,174.41683309341647,177.20595762824735,30794600
2020-06-03,178.27349853515625,178.83132630403003,176.56155092656394,177.7541497436834,27311000
2020-06-04,175.92678833007812,178.73515212263513,175.3304962305867,177.2540342810036,28761800
2020-06-05,180.04315185546875,180.5528882457452,175.0515684531105,175.63824812357984,39893600
2020-06-08,181.1588134765625,181.3415519387162,177.38868067333823,178.8313342055867,33211600
2020-06-09,182.5437774658203,183.4093637825689,180.10087574226733,180.8125901568914,29783900
2020-06-10,189.31463623046875,190.93041603596888,183.7075203170215,183.82294259447818,43872300
2020-06-11,179.14874267578125,188.27592246586127,178.95639178194557,185.74647959482888,52854700
2020-06-12,180.56256103515625,184.3903984722847,178.100419472013,183.2555031464423,43373600
2020-06-15,181.71664428710938,183.52477477368546,176.97511530117234,177.52333069673543,32770200
2020-06-16,186.16966247558594,188.10281319499808,184.14032897045007,185.51565181861656,42556700
2020-06-17,186.8140411376953,188.81452268961127,186.28506518098612,187.57383229338137,25687800
2020-06-18,188.8144989013672,188.97799787185443,186.58318775615908,186.58318775615908,23061600
